date;day;weight
2023-11-02;0;74.3
2023-11-05;3;74.3
2023-11-06;4;74.3
2023-11-07;5;73.5
2023-11-08;6;73.3
2023-11-09;7;73.6
2023-11-10;8;74.1
2023-11-12;10;73.9
2023-11-13;11;73.9
2023-11-14;12;74.2
2023-11-15;13;74.1
2023-11-16;14;73.8
2023-11-18;16;73.8
2023-11-20;18;74.6
2023-11-21;19;74.3
2023-11-22;20;73.8
2023-11-23;21;73.6
2023-11-25;23;73.7
2023-11-27;25;73.4
2023-11-28;26;74.4
2023-11-29;27;73.8
2023-12-01;29;73.9
2023-12-02;30;74.0
2023-12-03;31;73.6
2023-12-04;32;73.6
2023-12-05;33;73.7
2023-12-06;34;73.5
2023-12-07;35;74.0
2023-12-08;36;73.7
2023-12-11;39;74.3
2023-12-12;40;73.3
2023-12-13;41;73.0
2023-12-14;42;74.0
2023-12-15;43;73.6
2023-12-16;44;73.7
2023-12-17;45;74.0
2023-12-18;46;73.7
2023-12-19;47;74.0
2023-12-20;48;73.3
2023-12-24;52;74.6
2023-12-26;54;74.9
2023-12-27;55;74.9
2023-12-28;56;74.0
2023-12-29;57;75.6
2023-12-30;58;75.6
2023-12-31;59;75.1
2024-01-01;60;75.4
2024-01-02;61;76.3
2024-01-03;62;74.8
2024-01-04;63;74.8
2024-01-05;64;74.8
2024-01-06;65;74.2
2024-01-07;66;75.2
2024-01-08;67;74.9
2024-01-09;68;74.7
2024-01-10;69;74.5
2024-01-11;70;74.4
2024-01-13;72;74.3
2024-01-15;74;74.4
2024-01-16;75;74.6
2024-01-18;77;74.2
2024-01-19;78;73.3
2024-01-21;80;73.5
2024-01-22;81;74.4
2024-01-23;82;74.7
2024-01-24;83;74.3
2024-01-25;84;73.2
2024-01-26;85;74.3
2024-01-27;86;73.7
2024-01-28;87;74.1
2024-01-30;89;73.6
2024-01-31;90;73.6
2024-02-02;92;73.9
2024-02-04;94;73.7
2024-02-05;95;74.4
2024-02-06;96;73.9
