# Zeit;Theorie;Messwert
0.000000000000000000e+00;1.000000000000000000e+01;9.707102683849701208e+00
1.020408163265306145e-01;1.119622106098243108e+01;9.860104005472207334e+00
2.040816326530612290e-01;1.191733570607332027e+01;1.119782602495196500e+01
3.061224489795918435e-01;1.187693684409952155e+01;1.086591448203782129e+01
4.081632653061224580e-01;1.109106980242109763e+01;1.105275636623617608e+01
5.102040816326530726e-01;9.871859560038574344e+00;9.421536268555014360e+00
6.122448979591836871e-01;8.703543209384424273e+00;1.102195391653063439e+01
7.142857142857143016e-01;8.050144175636352983e+00;7.610396634703512575e+00
8.163265306122449161e-01;8.171174753968374560e+00;9.788633663350962522e+00
9.183673469387755306e-01;9.018564895992124519e+00;9.088794462348589676e+00
1.020408163265306145e+00;1.025575432336901294e+01;9.173031190152466152e+00
1.122448979591836871e+00;1.139136510120697210e+01;1.166964072552673493e+01
1.224489795918367374e+00;1.197436356682890057e+01;1.132443754906317324e+01
1.326530612244897878e+00;1.177319861274600044e+01;1.098286666727495131e+01
1.428571428571428603e+00;1.086776747823511613e+01;1.080153722455560938e+01
1.530612244897959329e+00;9.617682742597253309e+00;9.596058273460981169e+00
1.632653061224489832e+00;8.519444005849369006e+00;9.277656669955462121e+00
1.734693877551020336e+00;8.009241774101603539e+00;7.654252853926704070e+00
1.836734693877551061e+00;8.289714473989308274e+00;7.642473531372012019e+00
1.938775510204081787e+00;9.249465990241253266e+00;9.579456519936492498e+00
2.040816326530612290e+00;1.050730916781901492e+01;1.040159506621191632e+01
2.142857142857142794e+00;1.156366296493605894e+01;1.215072847319781246e+01
2.244897959183673741e+00;1.199897243240137534e+01;1.205507605305105834e+01
2.346938775510204245e+00;1.164034450919391261e+01;1.084419034781242175e+01
2.448979591836734748e+00;1.063021643604724353e+01;1.168484961253007981e+01
2.551020408163265252e+00;9.369783563952758243e+00;9.191542679125751292e+00
2.653061224489795755e+00;8.359655490806090938e+00;8.348093691898894164e+00
2.755102040816326703e+00;8.001027567598624657e+00;7.456173589996082818e+00
2.857142857142857206e+00;8.436337035063939283e+00;7.095754512508215761e+00
2.959183673469387710e+00;9.492690832180985083e+00;8.607119272308906943e+00
3.061224489795918657e+00;1.075053400975875029e+01;1.224369081862005793e+01
3.163265306122449161e+00;1.171028552601069173e+01;1.132550635633796254e+01
3.265306122448979664e+00;1.199075822589839646e+01;1.145121757384814920e+01
3.367346938775510168e+00;1.148055599415063099e+01;1.088120947819348494e+01
3.469387755102040671e+00;1.038231725740274847e+01;1.105361343278638486e+01
3.571428571428571619e+00;9.132232521764885647e+00;8.375186355642428637e+00
3.673469387755102122e+00;8.226801387253999565e+00;8.282149251903524245e+00
3.775510204081632626e+00;8.025636433171099426e+00;8.331549044291051587e+00
3.877551020408163573e+00;8.608634898793029677e+00;8.301428246559941826e+00
3.979591836734694077e+00;9.744245676630987063e+00;8.683208896167483815e+00
4.081632653061224580e+00;1.098143510400787726e+01;1.021895398793075316e+01
4.183673469387755084e+00;1.182882524603162366e+01;1.102781052702876252e+01
4.285714285714285587e+00;1.194985582436364702e+01;1.223743178482773075e+01
4.387755102040816091e+00;1.129645679061558283e+01;1.084938338282279346e+01
4.489795918367347483e+00;1.012814043996142388e+01;1.119285778180490709e+01
4.591836734693877986e+00;8.908930197578898813e+00;8.796846558148667228e+00
4.693877551020408490e+00;8.123063155900480226e+00;6.999458197353574107e+00
4.795918367346938993e+00;8.082664293926679733e+00;9.634445837661333556e+00
4.897959183673469497e+00;8.803778939017565364e+00;9.200599804977660057e+00
5.000000000000000000e+00;9.999999999999998224e+00;9.810403349980623133e+00
