time;distance;pace;heartRate
0.0;0.0;0.0;87
1.0;0.0;0.0;87
2.0;0.0;0.0;87
3.0;0.0;0.0;88
4.0;0.0;0.0;88
5.0;0.0;0.0;88
6.0;0.0;0.0;88
7.0;0.0;0.0;88
8.0;0.0;0.0;89
9.0;0.0;0.0;89
10.0;0.0;0.0;89
11.0;0.0;6.2696;89
12.0;2.5;8.1952;88
13.0;5.300000190734863;9.433;88
14.0;8.199999809265137;10.1508;88
15.0;11.199999809265137;10.6192;88
16.0;14.300000190734863;10.9712;90
17.0;17.399999618530273;11.2079;89
18.0;20.600000381469727;11.3739;89
19.0;23.799999237060547;11.4996;90
20.0;27.0;11.5799;92
21.0;30.200000762939453;11.6318;91
22.0;33.5;11.6867;91
23.0;36.79999923706055;11.7502;92
24.0;40.099998474121094;11.8064;92
25.0;43.400001525878906;11.842;95
26.0;46.70000076293945;11.8532;99
27.0;50.0;11.8532;102
28.0;53.29999923706055;11.8226;105
29.0;56.599998474121094;11.7652;107
30.0;59.70000076293945;11.6824;107
31.0;62.900001525878906;11.5407;109
32.0;66.0;11.3097;110
33.0;69.0999984741211;11.0552;111
34.0;72.0;10.876;112
35.0;75.0;10.8187;113
36.0;78.0999984741211;10.9283;114
37.0;81.30000305175781;11.1258;115
38.0;84.4000015258789;11.3234;115
39.0;87.5999984741211;11.5182;116
40.0;90.9000015258789;11.7065;116
41.0;94.19999694824219;11.8844;117
42.0;97.5999984741211;12.038;117
43.0;100.9000015258789;12.038;118
44.0;100.9000015258789;12.038;119
45.0;104.19999694824219;12.3103;120
46.0;104.19999694824219;13.29;122
47.0;107.69999694824219;13.29;123
48.0;111.19999694824219;12.3953;124
49.0;111.19999694824219;12.3953;125
50.0;111.19999694824219;12.3696;126
51.0;111.19999694824219;16.02;127
52.0;115.30000305175781;18.14;128
53.0;115.69999694824219;20.24;129
54.0;116.0999984741211;21.82;130
55.0;116.5;22.85;131
56.0;121.0;21.18;131
57.0;138.39999389648438;19.52;132
58.0;160.5;17.85;132
59.0;175.1999969482422;16.7;133
60.0;175.1999969482422;15.56;134
61.0;175.1999969482422;14.67;135
62.0;175.1999969482422;13.78;135
63.0;175.1999969482422;12.37;135
64.0;175.1999969482422;10.48;136
65.0;175.1999969482422;8.44;136
66.0;175.1999969482422;7.44;136
67.0;175.1999969482422;6.59;136
68.0;175.1999969482422;6.25;136
69.0;175.1999969482422;6.66;136
70.0;175.1999969482422;6.29;137
71.0;175.1999969482422;5.48;138
72.0;175.1999969482422;4.52;138
73.0;175.1999969482422;3.66;139
74.0;175.1999969482422;2.96;139
75.0;175.1999969482422;3.18;139
76.0;175.1999969482422;3.14;140
77.0;175.1999969482422;3.11;140
78.0;175.1999969482422;3.48;140
79.0;175.1999969482422;3.44;141
80.0;175.1999969482422;3.4;142
81.0;175.1999969482422;3.92;143
82.0;175.1999969482422;4.44;144
83.0;175.1999969482422;4.44;145
84.0;175.1999969482422;4.44;146
85.0;175.1999969482422;4.44;145
86.0;175.1999969482422;4.44;144
87.0;175.1999969482422;4.44;145
88.0;175.1999969482422;4.44;146
89.0;175.1999969482422;4.51;146
90.0;175.1999969482422;4.62;147
91.0;175.1999969482422;4.74;148
92.0;175.1999969482422;4.85;148
93.0;175.1999969482422;5.07;149
94.0;175.1999969482422;5.22;149
95.0;176.3000030517578;5.33;149
96.0;178.60000610351562;5.53;150
97.0;181.10000610351562;5.71;150
98.0;183.5;5.87;150
99.0;186.3000030517578;6.08;151
100.0;189.0;6.42;151
101.0;192.60000610351562;6.88;151
102.0;197.60000610351562;7.17;152
103.0;203.1999969482422;7.57;153
104.0;210.1999969482422;8.06;155
105.0;217.10000610351562;8.63;155
106.0;223.5;9.06;155
107.0;229.10000610351562;10.58;155
108.0;234.5;10.68;155
109.0;239.39999389648438;10.75;155
110.0;243.1999969482422;10.82;155
111.0;245.6999969482422;10.74;154
112.0;247.39999389648438;10.63;154
113.0;247.60000610351562;10.62;153
114.0;249.0;10.61;153
115.0;250.89999389648438;10.59;153
116.0;253.3000030517578;10.56;153
117.0;256.3999938964844;10.54;153
118.0;259.5;10.55;153
119.0;262.70001220703125;10.58;153
120.0;265.8999938964844;10.63;153
121.0;268.70001220703125;10.68;153
122.0;271.8999938964844;10.71;154
123.0;275.0;10.72;154
124.0;278.1000061035156;10.71;154
125.0;281.0;10.68;154
126.0;283.70001220703125;10.64;154
127.0;286.0;10.51;154
128.0;288.20001220703125;10.42;154
129.0;290.6000061035156;10.41;154
130.0;293.20001220703125;10.31;154
131.0;295.8999938964844;10.18;154
132.0;298.29998779296875;10.04;154
133.0;300.8999938964844;9.94;154
134.0;303.29998779296875;9.84;154
135.0;305.6000061035156;9.76;153
136.0;308.6000061035156;9.71;153
137.0;311.0;9.66;153
138.0;313.20001220703125;9.58;153
139.0;315.6000061035156;9.54;153
140.0;317.70001220703125;9.56;154
141.0;320.70001220703125;9.62;154
142.0;324.0;9.7;155
143.0;327.20001220703125;9.8;155
144.0;330.5;9.91;156
145.0;333.6000061035156;9.99;156
146.0;337.20001220703125;10.03;157
147.0;340.3999938964844;10.03;158
148.0;343.6000061035156;10.02;158
149.0;346.5;10.02;158
150.0;349.20001220703125;9.98;159
151.0;351.79998779296875;9.95;160
152.0;354.0;9.96;160
153.0;356.3999938964844;9.95;161
154.0;359.0;9.9;162
155.0;360.8999938964844;9.86;163
156.0;363.3999938964844;9.8;164
157.0;365.70001220703125;9.74;162
158.0;368.29998779296875;9.69;161
159.0;370.6000061035156;9.69;160
160.0;372.8999938964844;9.74;159
161.0;376.20001220703125;9.81;158
162.0;379.29998779296875;9.87;158
163.0;382.1000061035156;9.95;157
164.0;385.1000061035156;9.98;157
165.0;388.5;9.94;156
166.0;391.3999938964844;9.85;156
167.0;393.70001220703125;9.74;156
168.0;395.70001220703125;9.58;154
169.0;397.20001220703125;9.42;154
170.0;398.29998779296875;9.26;154
171.0;399.29998779296875;9.13;154
172.0;400.70001220703125;8.92;154
