stn,date_time,prestah0,tre200h0,rre150h0,su2000h0,time_days
AND,2023-01-01 00:00:00,913.9,11.1,0.0,0.0,0.0
AND,2023-01-01 01:00:00,913.8,11.1,0.0,0.0,0.041666666666666664
AND,2023-01-01 02:00:00,913.7,10.5,0.0,0.0,0.08333333333333333
AND,2023-01-01 03:00:00,913.2,11.5,0.0,0.0,0.125
AND,2023-01-01 04:00:00,913.2,10.6,0.0,0.0,0.16666666666666666
AND,2023-01-01 05:00:00,913.2,11.1,0.0,0.0,0.20833333333333334
AND,2023-01-01 06:00:00,913.2,11.5,0.0,0.0,0.25
AND,2023-01-01 07:00:00,913.5,11.5,0.0,0.0,0.2916666666666667
AND,2023-01-01 08:00:00,913.6,11.3,0.0,0.0,0.3333333333333333
AND,2023-01-01 09:00:00,913.8,11.6,0.0,0.0,0.375
AND,2023-01-01 10:00:00,913.8,12.0,0.0,0.1,0.4166666666666667
AND,2023-01-01 11:00:00,913.6,13.0,0.0,0.9,0.4583333333333333
AND,2023-01-01 13:00:00,912.7,12.7,0.0,0.0,0.5416666666666666
AND,2023-01-01 14:00:00,912.4,12.7,0.0,0.5,0.5833333333333334
AND,2023-01-01 15:00:00,912.5,12.1,0.0,0.0,0.625
AND,2023-01-01 16:00:00,912.9,11.7,0.0,0.0,0.6666666666666666
AND,2023-01-01 17:00:00,913.1,10.8,0.0,0.0,0.7083333333333334
AND,2023-01-01 18:00:00,913.2,11.0,0.0,0.0,0.75
AND,2023-01-01 20:00:00,913.2,10.4,0.0,0.0,0.8333333333333334
AND,2023-01-01 22:00:00,913.4,9.2,0.0,0.0,0.9166666666666666
AND,2023-01-01 23:00:00,913.2,10.1,0.0,0.0,0.9583333333333334
AND,2023-01-02 00:00:00,912.9,9.6,0.0,0.0,1.0
AND,2023-01-02 02:00:00,912.5,9.1,0.0,0.0,1.0833333333333333
AND,2023-01-02 03:00:00,912.3,9.1,0.0,0.0,1.125
AND,2023-01-02 05:00:00,911.8,7.1,0.0,0.0,1.2083333333333333
AND,2023-01-02 06:00:00,912.0,5.6,0.0,0.0,1.25
AND,2023-01-02 07:00:00,912.2,6.6,0.0,0.0,1.2916666666666667
AND,2023-01-02 08:00:00,912.5,7.9,0.0,0.0,1.3333333333333333
AND,2023-01-02 09:00:00,912.5,10.5,0.0,0.0,1.375
AND,2023-01-02 10:00:00,912.8,12.0,0.0,0.0,1.4166666666666667
AND,2023-01-02 11:00:00,912.4,12.4,0.0,0.0,1.4583333333333333
AND,2023-01-02 12:00:00,911.8,13.0,0.0,0.5,1.5
AND,2023-01-02 13:00:00,911.5,13.0,0.0,0.4,1.5416666666666667
AND,2023-01-02 14:00:00,911.3,12.6,0.0,0.4,1.5833333333333333
AND,2023-01-02 15:00:00,911.5,11.3,0.0,0.0,1.625
AND,2023-01-02 16:00:00,911.4,10.8,0.0,0.0,1.6666666666666667
AND,2023-01-02 17:00:00,911.8,10.5,0.0,0.0,1.7083333333333333
AND,2023-01-02 19:00:00,912.1,9.1,0.0,0.0,1.7916666666666667
AND,2023-01-02 20:00:00,912.3,7.1,0.0,0.0,1.8333333333333333
AND,2023-01-02 21:00:00,912.4,6.2,0.0,0.0,1.875
AND,2023-01-02 22:00:00,912.4,5.1,0.0,0.0,1.9166666666666667
AND,2023-01-02 23:00:00,912.9,4.3,0.0,0.0,1.9583333333333333
AND,2023-01-03 00:00:00,913.2,4.8,0.0,0.0,2.0
AND,2023-01-03 01:00:00,913.3,4.6,0.0,0.0,2.0416666666666665
AND,2023-01-03 02:00:00,913.5,4.3,0.0,0.0,2.0833333333333335
AND,2023-01-03 03:00:00,913.7,4.5,0.0,0.0,2.125
AND,2023-01-03 04:00:00,913.6,4.3,0.2,0.0,2.1666666666666665
AND,2023-01-03 05:00:00,913.5,4.2,0.1,0.0,2.2083333333333335
AND,2023-01-03 06:00:00,913.8,4.3,0.2,0.0,2.25
AND,2023-01-03 07:00:00,914.1,4.2,0.2,0.0,2.2916666666666665
AND,2023-01-03 10:00:00,915.0,5.3,0.0,0.0,2.4166666666666665
AND,2023-01-03 11:00:00,914.8,5.9,0.1,0.0,2.4583333333333335
AND,2023-01-03 12:00:00,914.4,6.4,0.0,0.0,2.5
AND,2023-01-03 13:00:00,914.1,6.8,0.0,0.0,2.5416666666666665
AND,2023-01-03 14:00:00,914.0,6.7,0.0,0.0,2.5833333333333335
AND,2023-01-03 15:00:00,914.2,6.4,0.0,0.0,2.625
AND,2023-01-03 16:00:00,914.7,5.9,0.0,0.0,2.6666666666666665
AND,2023-01-03 17:00:00,915.1,5.7,0.0,0.0,2.7083333333333335
AND,2023-01-03 18:00:00,915.6,5.5,0.0,0.0,2.75
AND,2023-01-03 19:00:00,915.9,5.3,0.0,0.0,2.7916666666666665
AND,2023-01-03 20:00:00,915.9,5.1,0.0,0.0,2.8333333333333335
AND,2023-01-03 21:00:00,915.9,5.1,0.0,0.0,2.875
AND,2023-01-03 23:00:00,916.3,5.1,0.0,0.0,2.9583333333333335
AND,2023-01-04 00:00:00,916.2,5.1,0.0,0.0,3.0
AND,2023-01-04 01:00:00,916.0,4.7,0.0,0.0,3.0416666666666665
AND,2023-01-04 03:00:00,916.0,2.9,0.0,0.0,3.125
AND,2023-01-04 04:00:00,916.1,1.3,0.0,0.0,3.1666666666666665
AND,2023-01-04 05:00:00,916.0,0.6,0.0,0.0,3.2083333333333335
AND,2023-01-04 07:00:00,916.4,-0.1,0.0,0.0,3.2916666666666665
AND,2023-01-04 08:00:00,916.7,-0.8,0.0,0.0,3.3333333333333335
AND,2023-01-04 09:00:00,916.8,-1.0,0.0,0.0,3.375
AND,2023-01-04 10:00:00,916.6,-0.5,0.0,0.1,3.4166666666666665
AND,2023-01-04 11:00:00,915.8,2.3,0.0,1.0,3.4583333333333335
AND,2023-01-04 12:00:00,915.0,4.8,0.0,0.1,3.5
AND,2023-01-04 13:00:00,914.6,5.7,0.0,0.0,3.5416666666666665
AND,2023-01-04 15:00:00,913.9,5.7,0.0,0.0,3.625
AND,2023-01-04 16:00:00,913.9,4.2,0.0,0.0,3.6666666666666665
AND,2023-01-04 17:00:00,914.2,2.5,0.0,0.0,3.7083333333333335
AND,2023-01-04 18:00:00,914.3,1.3,0.0,0.0,3.75
AND,2023-01-04 20:00:00,914.3,0.0,0.0,0.0,3.8333333333333335
AND,2023-01-04 21:00:00,914.4,0.0,0.0,0.0,3.875
AND,2023-01-04 22:00:00,914.2,0.1,0.0,0.0,3.9166666666666665
AND,2023-01-04 23:00:00,913.8,0.0,0.0,0.0,3.9583333333333335
AND,2023-01-05 02:00:00,912.8,0.6,0.0,0.0,4.083333333333333
AND,2023-01-05 05:00:00,911.3,0.8,0.0,0.0,4.208333333333333
AND,2023-01-05 06:00:00,911.4,0.6,0.0,0.0,4.25
AND,2023-01-05 07:00:00,911.7,0.8,0.0,0.0,4.291666666666667
AND,2023-01-05 08:00:00,912.1,0.7,0.0,0.0,4.333333333333333
AND,2023-01-05 09:00:00,912.4,1.2,0.0,0.0,4.375
AND,2023-01-05 10:00:00,912.7,2.1,0.0,0.0,4.416666666666667
AND,2023-01-05 11:00:00,912.6,2.6,0.0,0.0,4.458333333333333
AND,2023-01-05 12:00:00,912.3,2.9,0.0,0.0,4.5
AND,2023-01-05 13:00:00,912.2,3.7,0.0,0.0,4.541666666666667
AND,2023-01-05 15:00:00,912.1,4.3,0.0,0.0,4.625
AND,2023-01-05 17:00:00,912.5,2.3,0.0,0.0,4.708333333333333
AND,2023-01-05 18:00:00,912.9,1.1,0.0,0.0,4.75
AND,2023-01-05 19:00:00,912.9,1.0,0.0,0.0,4.791666666666667
AND,2023-01-05 20:00:00,913.1,0.7,0.0,0.0,4.833333333333333
AND,2023-01-05 21:00:00,913.0,0.1,0.0,0.0,4.875
